A,Corridor 4,0.9306737010581226%
A,Corridor 6,0.4001304128753075%
A,Interior 1,7.970005038679274%
A,Interior 2,1.7368623847772606%
A,Interior 3,1.235958386437061%
A,Parks,3.2514300957349063%
A,Transit 10,0.02074750288983076%
A,Transit 15,0.014819644921307686%
B,Corridor 4,5.139452858709506%
B,Corridor 6,2.1814517324164915%
B,Interior 1,13.468093304484425%
B,Interior 2,9.17928806425798%
B,Interior 3,6.007884051098135%
B,Parks,2.9402175523874448%
B,Transit 10,0.45940899256053824%
B,Transit 15,0.11855715937046149%
B,Transit 20,0.09188179851210765%
B,Transit 30,0.011855715937046148%
B,Transportation,0.03556714781113845%
C,Core 50,0.03556714781113845%
C,Corridor 4,4.9527253327010285%
C,Corridor 6,3.39369868697946%
C,Interior 1,3.266249740656214%
C,Interior 2,5.589970064317259%
C,Interior 3,6.713299149352381%
C,Parks,1.5353152138474762%
C,Production,1.2241026705000149%
C,Transit 10,1.4938202080678147%
C,Transit 15,0.10670144343341534%
C,Transit 20,0.34677969115859986%
C,Transit 30,0.24600610569370757%
C,Transportation,0.18672752600847684%
D,Core 50,0.026675360858353835%
D,Corridor 4,2.252586028038768%
D,Corridor 6,2.439313554047245%
D,Interior 1,2.605293577165891%
D,Interior 2,1.1618601618305224%
D,Interior 3,2.1162452947627375%
D,Parks,1.4819644921307686%
D,Production,0.2786093245205845%
D,Transit 10,0.8239722576247073%
D,Transit 15,0.5068318563087229%
D,Transit 20,0.4445893476392306%
D,Transit 30,1.2063190965944457%
D,Transportation,0.37049112303269216%
