A,Corridor 4,0.9874583402677318%
A,Corridor 6,0.4045421376723465%
A,Interior 1,8.176615928206573%
A,Interior 2,1.6947669828752363%
A,Interior 3,1.2780629771399554%
A,Parks,3.2519128271435824%
A,Transit 10,0.020269780104890778%
A,Transit 15,0.016429190190279892%
B,Corridor 4,5.045468317266866%
B,Corridor 6,2.0442606651048267%
B,Interior 1,13.392137032248153%
B,Interior 2,9.097290677181348%
B,Interior 3,5.997294517771263%
B,Parks,2.940184945740999%
B,Transit 10,0.43377329424466265%
B,Transit 15,0.10092216831171935%
B,Transit 20,0.08812020192968306%
B,Transit 30,0.01706928850938171%
B,Transportation,0.03413857701876342%
C,Core 50,0.0364856041888034%
C,Corridor 4,5.193117662873017%
C,Corridor 6,3.344300351200611%
C,Interior 1,3.238897494655179%
C,Interior 2,5.677031992113989%
C,Interior 3,6.698202177187749%
C,Parks,1.5185265790158702%
C,Production,1.1863155514020287%
C,Transit 10,1.4359538958517362%
C,Transit 15,0.09516128343980303%
C,Transit 20,0.3445862617831432%
C,Transit 30,0.267347731278191%
C,Transportation,0.18712207528409697%
D,Core 50,0.021549976743094407%
D,Corridor 4,2.2793901143215596%
D,Corridor 6,2.427146142980895%
D,Interior 1,2.719991123969975%
D,Interior 2,1.249471918886741%
D,Interior 3,1.9653152057489365%
D,Parks,1.4836412206248213%
D,Production,0.28057642987296183%
D,Transit 10,0.8393822624488455%
D,Transit 15,0.4971430278357422%
D,Transit 20,0.41755747016075%
D,Transit 30,1.2131996808043048%
D,Transportation,0.3618689163988922%
