A,Corridor 4,0.9924766861806584%
A,Corridor 6,0.388141480387434%
A,Interior 1,8.071951861823072%
A,Interior 2,1.7013714751984248%
A,Interior 3,1.2651769524059047%
A,Parks,3.227587662328903%
A,Transit 10,0.022182939101537007%
A,Transit 15,0.016277480989371075%
B,Corridor 4,5.016461839199471%
B,Corridor 6,2.0467958093430343%
B,Interior 1,13.416571315001633%
B,Interior 2,9.176722182969078%
B,Interior 3,6.010797095953502%
B,Parks,2.9478128371469503%
B,Transit 10,0.440271387276046%
B,Transit 15,0.09814451705193536%
B,Transit 20,0.08984090336122488%
B,Transit 30,0.014868564586976156%
B,Transportation,0.03450346338630959%
C,Core 50,0.03627210312548619%
C,Corridor 4,5.187720124452284%
C,Corridor 6,3.3912617805645677%
C,Interior 1,3.224320175353136%
C,Interior 2,5.674096052725848%
C,Interior 3,6.696010098633141%
C,Parks,1.529633558829904%
C,Production,1.1936519622758137%
C,Transit 10,1.4363752837692532%
C,Transit 15,0.09274866700021014%
C,Transit 20,0.3489915905676944%
C,Transit 30,0.26640510783156673%
C,Transportation,0.18528749538729763%
D,Core 50,0.02179323882002352%
D,Corridor 4,2.2742908429127158%
D,Corridor 6,2.445399243441869%
D,Interior 1,2.719808195516828%
D,Interior 2,1.2226396678314708%
D,Interior 3,1.9751808883787478%
D,Parks,1.48277959421409%
D,Production,0.27950503267936627%
D,Transit 10,0.8388448444301487%
D,Transit 15,0.5069101354148524%
D,Transit 20,0.4168893703852367%
D,Transit 30,1.2122976218989976%
D,Transportation,0.3629308698679845%
