A,Corridor 4,1.143162393162393%
A,Corridor 6,0.16025641025641027%
A,Interior 1,8.306623931623932%
A,Interior 2,1.704059829059829%
A,Interior 3,1.330128205128205%
A,Parks,3.2905982905982905%
A,Transit 10,0.010683760683760684%
A,Transit 15,0.010683760683760684%
B,Corridor 4,5.032051282051282%
B,Corridor 6,1.7841880341880343%
B,Interior 1,13.685897435897436%
B,Interior 2,9.342948717948717%
B,Interior 3,5.924145299145299%
B,Parks,2.927350427350427%
B,Transit 10,0.37393162393162394%
B,Transit 15,0.1014957264957265%
B,Transit 20,0.09615384615384616%
B,Transit 30,0.010683760683760684%
B,Transportation,0.026709401709401708%
C,Core 50,0.042735042735042736%
C,Corridor 4,5.240384615384615%
C,Corridor 6,3.1356837606837606%
C,Interior 1,3.141025641025641%
C,Interior 2,5.683760683760684%
C,Interior 3,6.7681623931623935%
C,Parks,1.4583333333333333%
C,Production,1.1591880341880343%
C,Transit 10,1.436965811965812%
C,Transit 15,0.09081196581196581%
C,Transit 20,0.3952991452991453%
C,Transit 30,0.2403846153846154%
C,Transportation,0.1762820512820513%
D,Core 50,0.026709401709401708%
D,Corridor 4,2.361111111111111%
D,Corridor 6,2.4626068376068377%
D,Interior 1,2.6495726495726495%
D,Interior 2,1.266025641025641%
D,Interior 3,2.072649572649573%
D,Parks,1.4957264957264957%
D,Production,0.24572649572649571%
D,Transit 10,0.7692307692307693%
D,Transit 15,0.5021367521367521%
D,Transit 20,0.40064102564102566%
D,Transit 30,1.1752136752136753%
D,Transportation,0.3418803418803419%
