A,Corridor 4,0.9957028270432859%
A,Corridor 6,0.3917071637938892%
A,Interior 1,8.066255378961962%
A,Interior 2,1.7023748986572385%
A,Interior 3,1.2687969834637396%
A,Parks,3.2347014406263344%
A,Transit 10,0.021243601613808522%
A,Transit 15,0.0165062772546066%
B,Corridor 4,5.026162023689021%
B,Corridor 6,2.0343138195547157%
B,Interior 1,13.425670781142811%
B,Interior 2,9.176698600630363%
B,Interior 3,6.016296395795655%
B,Parks,2.9443574269252726%
B,Transit 10,0.440906975740102%
B,Transit 15,0.0998364123942797%
B,Transit 20,0.08953303174367118%
B,Transit 30,0.015400501796585288%
B,Transportation,0.03458726511266437%
C,Core 50,0.036238732363960836%
C,Corridor 4,5.186728535723024%
C,Corridor 6,3.390939597315436%
C,Interior 1,3.222221289415738%
C,Interior 2,5.636558471775142%
C,Interior 3,6.714455675434515%
C,Parks,1.5318713990338257%
C,Production,1.1924157235993111%
C,Transit 10,1.4419479877765038%
C,Transit 15,0.09321135422713252%
C,Transit 20,0.3483744381173513%
C,Transit 30,0.2677014022480103%
C,Transportation,0.1859849556970223%
D,Core 50,0.021692148274654474%
D,Corridor 4,2.2742527020738685%
D,Corridor 6,2.442932031988333%
D,Interior 1,2.7222236880609834%
D,Interior 2,1.224696691308749%
D,Interior 3,1.9611275551568474%
D,Parks,1.4846132904135745%
D,Production,0.2798307515915011%
D,Transit 10,0.8418909000196689%
D,Transit 15,0.5037370892919679%
D,Transit 20,0.41535780591122134%
D,Transit 30,1.2131855927771995%
D,Transportation,0.36475838446445447%
