A,Corridor 4,0.9965021358733706%
A,Corridor 6,0.3927051135423194%
A,Interior 1,8.067799553341661%
A,Interior 2,1.703228078012485%
A,Interior 3,1.2696032715497723%
A,Parks,3.233701888209611%
A,Transit 10,0.021279439723379943%
A,Transit 15,0.016525132460930722%
B,Corridor 4,5.027205165649794%
B,Corridor 6,2.0356414456718945%
B,Interior 1,13.426227011075303%
B,Interior 2,9.17295110346572%
B,Interior 3,6.017470396691135%
B,Parks,2.94413892199098%
B,Transit 10,0.4404597478424707%
B,Transit 15,0.0995805814767658%
B,Transit 20,0.08963218520089097%
B,Transit 30,0.01536237616478862%
B,Transportation,0.03465613464891157%
C,Core 50,0.036242014296371854%
C,Corridor 4,5.185683184958078%
C,Corridor 6,3.39005429572151%
C,Interior 1,3.2227839730736294%
C,Interior 2,5.641210455291388%
C,Interior 3,6.713155151536798%
C,Parks,1.532008048805646%
C,Production,1.1923416139350578%
C,Transit 10,1.4408349616363718%
C,Transit 15,0.0930471571308212%
C,Transit 20,0.34902678963852873%
C,Transit 30,0.2675622177900514%
C,Transportation,0.18580778978752144%
D,Core 50,0.02170922643456141%
D,Corridor 4,2.2723323172153767%
D,Corridor 6,2.442439565325048%
D,Interior 1,2.721309504803083%
D,Interior 2,1.223289588820055%
D,Interior 3,1.962732627887867%
D,Parks,1.4836470487579363%
D,Production,0.28007434177332263%
D,Transit 10,0.8409993067440398%
D,Transit 15,0.5041098270964729%
D,Transit 20,0.41497739388532784%
D,Transit 30,1.213407826142813%
D,Transportation,0.36454408892013856%
