A,Corridor 4,0.9964018525496039%
A,Corridor 6,0.38671279183580237%
A,Interior 1,8.079180591564901%
A,Interior 2,1.7096804149130456%
A,Interior 3,1.2641014611403278%
A,Parks,3.2389197659016022%
A,Transit 10,0.02108081048511481%
A,Transit 15,0.01665117182621727%
B,Corridor 4,5.0401816258588426%
B,Corridor 6,2.033524359276784%
B,Interior 1,13.374306601442461%
B,Interior 2,9.178371408657116%
B,Interior 3,6.035516095599074%
B,Parks,2.956276797979658%
B,Transit 10,0.44243017448506783%
B,Transit 15,0.09921323213121123%
B,Transit 20,0.09008710911107293%
B,Transit 30,0.015850634719187594%
B,Transportation,0.03458320302368202%
C,Core 50,0.036344384659147314%
C,Corridor 4,5.174885336401703%
C,Corridor 6,3.385418056488033%
C,Interior 1,3.222001748373042%
C,Interior 2,5.646455061582651%
C,Interior 3,6.713304179550867%
C,Parks,1.5247029740487217%
C,Production,1.1919463832267196%
C,Transit 10,1.4395258258607642%
C,Transit 15,0.09227524387028738%
C,Transit 20,0.3520762196716517%
C,Transit 30,0.268873729681034%
C,Transportation,0.18583134711182223%
D,Core 50,0.021721240170738555%
D,Corridor 4,2.269042376164915%
D,Corridor 6,2.4382759205909883%
D,Interior 1,2.7245479900648006%
D,Interior 2,1.2161226038590158%
D,Interior 3,1.9629703555772353%
D,Parks,1.485743501506611%
D,Production,0.2827497062028817%
D,Transit 10,0.8449402318995891%
D,Transit 15,0.5043383774286961%
D,Transit 20,0.42001513548823693%
D,Transit 30,1.218204000337293%
D,Transportation,0.3646179676817833%
