A,Corridor 4,1.032108564503456%
A,Corridor 6,0.4594547803273449%
A,Interior 1,7.977200388871872%
A,Interior 2,1.7392694003116302%
A,Interior 3,1.2411937833770592%
A,Parks,3.1895484025622927%
A,Transit 10,0.014649282851016793%
A,Transit 15,0.015981035837472866%
B,Corridor 4,5.117926726950685%
B,Corridor 6,2.0788664118579288%
B,Interior 1,13.489325999813554%
B,Interior 2,9.114517439305358%
B,Interior 3,6.131390749643756%
B,Parks,2.9831266896616015%
B,Transit 10,0.42882446163885524%
B,Transit 15,0.10787199190294185%
B,Transit 20,0.08789569710610076%
B,Transit 30,0.015981035837472866%
B,Transportation,0.038620836607226094%
C,Core 50,0.03728908362077002%
C,Corridor 4,5.003395970115463%
C,Corridor 6,3.4678847767316117%
C,Interior 1,3.156254577900891%
C,Interior 2,5.492149316144841%
C,Interior 3,6.726684334589621%
C,Parks,1.5395064523432194%
C,Production,1.2505160542822518%
C,Transit 10,1.4675917910745915%
C,Transit 15,0.09988147398420541%
C,Transit 20,0.35690980037022735%
C,Transit 30,0.25436482041310976%
C,Transportation,0.18245015914448187%
D,Core 50,0.021308047783297153%
D,Corridor 4,2.2426720291920255%
D,Corridor 6,2.4464302361198045%
D,Interior 1,2.7407476461265965%
D,Interior 2,1.1945824288510967%
D,Interior 3,1.9643356550227065%
D,Parks,1.4635965321152233%
D,Production,0.25436482041310976%
D,Transit 10,0.8296821105621329%
D,Transit 15,0.5287059356230607%
D,Transit 20,0.43415147358467954%
D,Transit 30,1.2118952176750257%
D,Transportation,0.368895577248332%
