A,Corridor 4,0.9956145778073665%
A,Corridor 6,0.39153228949242674%
A,Interior 1,8.066332422398675%
A,Interior 2,1.7022117960873082%
A,Interior 3,1.2694045622467343%
A,Parks,3.2346858272215147%
A,Transit 10,0.02128644928646579%
A,Transit 15,0.01654451877981983%
B,Corridor 4,5.028074776534126%
B,Corridor 6,2.034158658449012%
B,Interior 1,13.426317281482797%
B,Interior 2,9.176089681078414%
B,Interior 3,6.016313669492071%
B,Parks,2.9443678482655584%
B,Transit 10,0.4406562588754616%
B,Transit 15,0.0996386420812495%
B,Transit 20,0.08965372276352333%
B,Transit 30,0.015450186121305427%
B,Transportation,0.034602340247181014%
C,Core 50,0.03624250663307913%
C,Corridor 4,5.186135750830912%
C,Corridor 6,3.3898454607193265%
C,Interior 1,3.2226444366926104%
C,Interior 2,5.636797717613327%
C,Interior 3,6.715894472387684%
C,Parks,1.531916470510336%
C,Production,1.1924164207296606%
C,Transit 10,1.4418629671847643%
C,Transit 15,0.09334662907535372%
C,Transit 20,0.3488693070328469%
C,Transit 30,0.2678311219018459%
C,Transportation,0.18596405840553076%
D,Core 50,0.021693692419005976%
D,Corridor 4,2.272657080952227%
D,Corridor 6,2.4415694323048855%
D,Interior 1,2.722539209118272%
D,Interior 2,1.2251675104541817%
D,Interior 3,1.9612557412353255%
D,Parks,1.4836928069530346%
D,Production,0.2799881822733695%
D,Transit 10,0.8417502333305924%
D,Transit 15,0.5037730809709474%
D,Transit 20,0.4154562244069146%
D,Transit 30,1.2131578358498667%
D,Transportation,0.36459614130309%
