A,Corridor 4,0.997576512800724%
A,Corridor 6,0.39166473903408017%
A,Interior 1,8.077082562724454%
A,Interior 2,1.7033298831374966%
A,Interior 3,1.2678003988866988%
A,Parks,3.234931687188403%
A,Transit 10,0.021159542953872196%
A,Transit 15,0.016642486869890664%
B,Corridor 4,5.032440190979532%
B,Corridor 6,2.032548653624145%
B,Interior 1,13.419987080420121%
B,Interior 2,9.167385309414344%
B,Interior 3,6.0236608461045655%
B,Parks,2.945427033687911%
B,Transit 10,0.4399865794133104%
B,Transit 15,0.09925531200465616%
B,Transit 20,0.08998135615081797%
B,Transit 30,0.015296697299146903%
B,Transportation,0.03457746471366395%
C,Core 50,0.03618974726871341%
C,Corridor 4,5.186819576787822%
C,Corridor 6,3.3866194938552048%
C,Interior 1,3.2209674548107845%
C,Interior 2,5.644561251280499%
C,Interior 3,6.709693735602716%
C,Parks,1.5354393030249085%
C,Production,1.191490132830763%
C,Transit 10,1.4423533036069291%
C,Transit 15,0.09357901143894486%
C,Transit 20,0.34769339662364046%
C,Transit 30,0.26849168168798787%
C,Transportation,0.18579890865793067%
D,Core 50,0.02173250287012944%
D,Corridor 4,2.2715728735725302%
D,Corridor 6,2.442188344449644%
D,Interior 1,2.7176954539494793%
D,Interior 2,1.2206044913661602%
D,Interior 3,1.9605222622909229%
D,Parks,1.4833732362161833%
D,Production,0.2801374251021468%
D,Transit 10,0.84250424523324%
D,Transit 15,0.5045911411336185%
D,Transit 20,0.41530266674199534%
D,Transit 30,1.213662349124997%
D,Transportation,0.3656816730642749%
