A,Corridor 4,0.9959178772961941%
A,Corridor 6,0.3887621563212871%
A,Interior 1,8.099651818945851%
A,Interior 2,1.7122103493816785%
A,Interior 3,1.27914515548085%
A,Parks,3.229439308440389%
A,Transit 10,0.022451674870932886%
A,Transit 15,0.016328490815223917%
B,Corridor 4,5.016448553247689%
B,Corridor 6,2.031456357305799%
B,Interior 1,13.35886661063753%
B,Interior 2,9.166526593828792%
B,Interior 3,5.991835754592388%
B,Parks,2.958338335934686%
B,Transit 10,0.44170968903829994%
B,Transit 15,0.09592988353944051%
B,Transit 20,0.08956657461880178%
B,Transit 30,0.014647616760715573%
B,Transportation,0.034217793252491295%
C,Core 50,0.036378917036859165%
C,Corridor 4,5.218873814383479%
C,Corridor 6,3.399927962540521%
C,Interior 1,3.2156321287069276%
C,Interior 2,5.669107936126786%
C,Interior 3,6.702605354784488%
C,Parks,1.5204706447352623%
C,Production,1.1899387681594429%
C,Transit 10,1.4427902509304837%
C,Transit 15,0.09220794813302917%
C,Transit 20,0.3491415536078761%
C,Transit 30,0.26533797574738865%
C,Transportation,0.18333533437387442%
D,Core 50,0.021611237843678712%
D,Corridor 4,2.2970344579181172%
D,Corridor 6,2.4372673790370993%
D,Interior 1,2.7394645215512066%
D,Interior 2,1.2301596830351782%
D,Interior 3,1.9572577740425021%
D,Parks,1.4857726017529116%
D,Production,0.27698403169648217%
D,Transit 10,0.8285508464401489%
D,Transit 15,0.5040220914875735%
D,Transit 20,0.4138552047064474%
D,Transit 30,1.2126305678953055%
D,Transportation,0.3661904190178893%
