A,Corridor 4,0.9963972629697684%
A,Corridor 6,0.39284185030431107%
A,Interior 1,8.06087762407661%
A,Interior 2,1.7013396425521778%
A,Interior 3,1.2682577177302743%
A,Parks,3.235516152247078%
A,Transit 10,0.021226753570776108%
A,Transit 15,0.016473423334072014%
B,Corridor 4,5.026738135511438%
B,Corridor 6,2.0348987155430893%
B,Interior 1,13.419970176770345%
B,Interior 2,9.174097118633068%
B,Interior 3,6.018362480345175%
B,Parks,2.9444530268462605%
B,Transit 10,0.4406918237104731%
B,Transit 15,0.09972852477392626%
B,Transit 20,0.08941223112833221%
B,Transit 30,0.015454852569063995%
B,Transportation,0.034670581808926834%
C,Core 50,0.0362506723546444%
C,Corridor 4,5.19134831215642%
C,Corridor 6,3.3912660690964453%
C,Interior 1,3.218428974734091%
C,Interior 2,5.641249713200508%
C,Interior 3,6.712237696807787%
C,Parks,1.5301969014816157%
C,Production,1.1933992958019606%
C,Transit 10,1.4422439688531508%
C,Transit 15,0.09315351989980397%
C,Transit 20,0.349493829093489%
C,Transit 30,0.2675609108582125%
C,Transportation,0.18605239710835594%
D,Core 50,0.0216642166557475%
D,Corridor 4,2.271719683057342%
D,Corridor 6,2.4454186449900877%
D,Interior 1,2.7252448454769387%
D,Interior 2,1.2249945774165363%
D,Interior 3,1.9629882724635008%
D,Parks,1.4837050224287978%
D,Production,0.27932997370389806%
D,Transit 10,0.8415418601896709%
D,Transit 15,0.5039248273881665%
D,Transit 20,0.416810909780878%
D,Transit 30,1.2143257015830549%
D,Transportation,0.36404110899373177%
