A,Corridor 4,0.9955148251886186%
A,Corridor 6,0.3915407399690698%
A,Interior 1,8.066048995599788%
A,Interior 2,1.7022417923696187%
A,Interior 3,1.2694123478614154%
A,Parks,3.23472699225542%
A,Transit 10,0.021285405072804284%
A,Transit 15,0.016528381495801683%
B,Corridor 4,5.0273009270420435%
B,Corridor 6,2.0342692982776422%
B,Interior 1,13.425707383178441%
B,Interior 2,9.176026627274561%
B,Interior 3,6.016324068152725%
B,Parks,2.944278300428708%
B,Transit 10,0.4407636806275174%
B,Transit 15,0.09965802481512803%
B,Transit 20,0.08959707386640565%
B,Transit 30,0.01546135939923727%
B,Transportation,0.03461885029220634%
C,Core 50,0.03624556925470937%
C,Corridor 4,5.186691134001727%
C,Corridor 6,3.389748765176452%
C,Interior 1,3.2226332755940716%
C,Interior 2,5.636644237601005%
C,Interior 3,6.716503714722092%
C,Parks,1.531816028978108%
C,Production,1.1923770038452095%
C,Transit 10,1.4419887464602954%
C,Transit 15,0.09326602008379187%
C,Transit 20,0.34905161891365655%
C,Transit 30,0.2677413901921064%
C,Transportation,0.18595035521048325%
D,Core 50,0.021693450740305247%
D,Corridor 4,2.2725493781665875%
D,Corridor 6,2.441779122660051%
D,Interior 1,2.722543459572122%
D,Interior 2,1.225345947733324%
D,Interior 3,1.961625309219359%
D,Parks,1.483702021050591%
D,Production,0.27992212638999203%
D,Transit 10,0.8419209455815226%
D,Transit 15,0.5037834155536691%
D,Transit 20,0.4153727657818948%
D,Transit 30,1.2132445685553588%
D,Transportation,0.3645545557943636%
